Transaction creation date,Type,Order number,Legacy order ID,Buyer username,Buyer name,Ship to city,Ship to province/region/state,Ship to zip,Ship to country,Net amount,Payout currency,Payout date,Payout ID,Payout method,Payout status,Reason for hold,Item ID,Transaction ID,Item title,Custom label,Quantity,Item subtotal,Shipping and handling,Seller collected tax,eBay collected tax,Final Value Fee - fixed,Final Value Fee - variable,Regulatory operating fee,"Very high ""item not as described"" fee",Below standard performance fee,International fee,Charity donation,Deposit processing fee,Gross transaction amount,Transaction currency,Exchange rate,Reference ID,Description
2025-06-23T01:22:56.279Z,Other fee,09-13235-51714,09-13235-51714,mintchoco_ykc,--,Richmond Hill,ON,L4S2N6,CA,2.53,USD,--,6946924051,--,--,--,3.57104E+11,FEE-6855931676119_11,[New and unused] Orange Blue Long Wallet Chain Vivienne Westwood,rkm_9879a4359a302ac28c5724e9e327ca78,1,115,--,--,--,--,--,--,--,--,--,--,--,115,USD,--,--,Promoted Listings - General fee
2025-06-23T01:18:25.548Z,Order,09-13235-51714,09-13235-51714,mintchoco_ykc,--,Richmond Hill,ON,L4S2N6,CA,96.78,USD,--,6958465339,--,--,--,3.57104E+11,09-13235-51714,[New and unused] Orange Blue Long Wallet Chain Vivienne Westwood,rkm_9879a4359a302ac28c5724e9e327ca78,1,115,--,--,--,--,--,--,--,--,--,--,--,115,USD,--,--,--
2025-06-16T20:47:56.959Z,DISPUTE,21-13151-10071,21-13151-10071,divysh-73,--,Hicksville,NY,11801,US,221,USD,--,6938198347,--,--,--,3.5698E+11,DISPUTE_HOLD-6518576621,Hermes HERMES Makeup Pouch Neo-Ban PM Cosmetic Pouch Orange,rkm_b4197e4a61f304a8c9300b5b641f6ef1,1,221,--,--,--,--,--,--,--,--,--,--,--,221,USD,--,--,--
2025-06-16T13:37:57.117Z,Order,10-13208-96476,10-13208-96476,boucheron100,--,Seattle,WA,98106,US,122.14,USD,--,6946924051,--,--,--,3.57095E+11,10-13208-96476,Jetsons Scarf Handkerchief GUCCI x The Jetsons,rkm_e8e274bdcdf0553b4977e81b0f6c9bdd,1,145,--,--,--,--,--,--,--,--,--,--,--,145,USD,--,--,--
2025-06-12T06:36:51.603Z,Other fee,06-13198-35063,06-13198-35063,glubglub,--,los angeles,CA,90029,US,6.42,USD,--,6932083459,--,--,--,3.57056E+11,FEE-6827115037219_11,HERMES Mineral Mineraux Scarf Carre 90,rkm_f72c636d183e7f31c0ac24f9a846776c,1,266,--,--,--,--,--,--,--,--,--,--,--,266,USD,--,--,Promoted Listings - General fee
2025-06-12T06:33:19.023Z,Order,06-13198-35063,06-13198-35063,glubglub,--,los angeles,CA,90029,US,220.44,USD,--,6938198347,--,--,--,3.57056E+11,06-13198-35063,HERMES Mineral Mineraux Scarf Carre 90,rkm_f72c636d183e7f31c0ac24f9a846776c,1,266,--,--,--,--,--,--,--,--,--,--,--,266,USD,--,--,--
2025-06-09T05:42:08.053Z,Other fee,27-13153-88621,27-13153-88621,greeneliasmiles,--,Melbourne,Victoria,3012,AU,4.58,USD,--,6932083459,--,--,--,3.57056E+11,FEE-9066894597_42,Hermes CHOREGRAPHIE EQUESTRE 100  Silk Carre 70,rkm_c64c9f864d7f9832946b0aa0dd37baf4,1,189,--,--,--,--,--,--,--,--,--,--,--,189,USD,--,--,Promoted Listings - General fee
2025-06-09T05:33:44.068Z,Refund,27-13153-88621,27-13153-88621,greeneliasmiles,--,Melbourne,Victoria,3012,AU,156.43,USD,--,6932083459,--,--,--,3.57056E+11,RRP-6514598362-CCM_CHARGE,Hermes CHOREGRAPHIE EQUESTRE 100  Silk Carre 70,rkm_c64c9f864d7f9832946b0aa0dd37baf4,1,189,--,--,--,--,--,--,--,--,--,--,--,189,USD,--,--,--
2025-06-08T06:55:18.725Z,Other fee,27-13153-88621,27-13153-88621,greeneliasmiles,--,Melbourne,Victoria,3012,AU,4.58,USD,--,6932083459,--,--,--,3.57056E+11,FEE-6815692759919_11,Hermes CHOREGRAPHIE EQUESTRE 100  Silk Carre 70,rkm_c64c9f864d7f9832946b0aa0dd37baf4,1,189,--,--,--,--,--,--,--,--,--,--,--,189,USD,--,--,Promoted Listings - General fee
2025-06-08T06:50:48.743Z,Order,27-13153-88621,27-13153-88621,greeneliasmiles,--,Melbourne,Victoria,3012,AU,156.43,USD,--,6932083459,--,--,--,3.57056E+11,27-13153-88621,Hermes CHOREGRAPHIE EQUESTRE 100  Silk Carre 70,rkm_c64c9f864d7f9832946b0aa0dd37baf4,1,189,--,--,--,--,--,--,--,--,--,--,--,189,USD,--,--,--
2025-06-07T22:31:09.745Z,Other fee,27-13139-40228,27-13139-40228,mcdlib,--,Spring,TX,77386,US,4.53,USD,--,6932083459,--,--,--,3.57003E+11,FEE-9063024249_42,Beautiful Hermes Twilly BOLDUC Scarf Silk Women's HERMES [1-0200551],rkm_3800815fea00d56bace37529e5c2c6e7,1,192,--,--,--,--,--,--,--,--,--,--,--,192,USD,--,--,Promoted Listings - General fee
2025-06-07T22:23:42.217Z,Refund,27-13139-40228,27-13139-40228,mcdlib,--,Spring,TX,77386,US,159.73,USD,--,6932083459,--,--,--,3.57003E+11,RRP-6514244785-CCM_CHARGE,Beautiful Hermes Twilly BOLDUC Scarf Silk Women's HERMES [1-0200551],rkm_3800815fea00d56bace37529e5c2c6e7,1,192,--,--,--,--,--,--,--,--,--,--,--,192,USD,--,--,--
2025-06-05T15:40:41.862Z,Other fee,21-13151-10071,21-13151-10071,divysh-73,--,Hicksville,NY,11801,US,5.28,USD,--,6932083459,--,--,--,3.5698E+11,FEE-6808357957719_11,Hermes HERMES Makeup Pouch Neo-Ban PM Cosmetic Pouch Orange,rkm_b4197e4a61f304a8c9300b5b641f6ef1,1,221,--,--,--,--,--,--,--,--,--,--,--,221,USD,--,--,Promoted Listings - General fee
