Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-03-28T22:38:35.741Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:38:14.417Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:38:13.326Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:38:12.548Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:37:32.810Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:36:28.528Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:35:48.031Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:35:46.337Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:33:35.877Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:33:10.621Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:05:15.043Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:04:47.318Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:03:37.265Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:03:08.698Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:03:03.515Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:02:05.549Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:00:59.660Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:56:15.792Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:43:29.053Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:31:43.403Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:30:35.539Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:26:53.509Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:26:08.482Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:25:06.567Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:24:05.511Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:23:43.071Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:22:55.021Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:20:32.929Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:19:37.165Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:16:05.168Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:15:14.508Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:10:18.868Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:07:50.520Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:05:12.162Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:01:28.980Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T20:01:00.790Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T19:58:49.104Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T18:02:12.632Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:57:15.596Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:52:20.060Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:52:06.428Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:35:06.211Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:32:07.716Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:28:45.718Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:04:38.309Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T17:02:00.128Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:51:45.021Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:50:36.615Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:46:51.706Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:41:09.189Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:38:32.296Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:37:54.679Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:36:47.829Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:24:17.015Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:24:12.711Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T16:00:51.138Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:58:54.863Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:56:03.858Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:55:48.334Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:44:15.780Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:09:10.851Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:07:21.072Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T15:00:30.912Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:55:00.544Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:50:18.221Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:49:24.539Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:49:02.896Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:31:59.453Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:12:07.905Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T14:09:24.900Z,NON_SALE_CHARGE,,,0,0,0,0,0,13.24,USD,PAYOUT,Promoted Listings - General fee
2026-03-28T14:03:28.949Z,SALE,10-14426-02193,lustg750,225,33.64,0.44,3.58,37.66,187.34,USD,PAYOUT,
2026-03-28T14:03:14.242Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
