Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-03-29T03:36:34.918Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:06:11.218Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:05:56.744Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-27T06:36:52.329Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,8.15,USD,PAYOUT,Promoted Listings - General fee
2026-03-27T06:33:14.400Z,SALE,27-14396-48671,steben-1748,370.41,51.74,0.44,5.5,57.68,312.73,USD,PAYOUT,
2026-03-25T21:55:03.982Z,DISPUTE,21-14365-25100,joa6322,0.0,0.0,0.0,0.0,0.0,359.29,USD,PAYOUT,
2026-03-25T13:16:05.042Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,3.96,USD,PAYOUT,Promoted Listings - General fee
2026-03-25T02:22:11.192Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:21:57.835Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:17:58.826Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:14:22.354Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:13:14.951Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:13:02.404Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:12:02.768Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:11:43.488Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:07:57.507Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:07:10.666Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:07:01.805Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:05:33.164Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:03:27.170Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:03:08.868Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:03:01.812Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T02:00:32.503Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:58:11.660Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:58:00.730Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:58:00.522Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:57:11.455Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
