seller-sku	quantity	price	product-id
B007HHIE52	1	75.04	B007HHIE52
B007HTTZ94	1	74.21	B007HTTZ94
B007HTTZAI	1	72.42	B007HTTZAI
B007KHIK9Y	1	86.37	B007KHIK9Y
B007T4MXA0	1	72.68	B007T4MXA0
B007WRV526	1	93.85	B007WRV526
B007XT2SCY	1	354.51	B007XT2SCY
B0081XM8Q2	1	68.3	B0081XM8Q2
B0081ZBVHC	1	104.1	B0081ZBVHC
B00841B2QS	1	182.37	B00841B2QS
B0085Q2R3O	1	81.93	B0085Q2R3O
B0085RMGXO	1	91.89	B0085RMGXO
B008BDW4ZC	1	59.91	B008BDW4ZC
B008EKRRIG	1	185.68	B008EKRRIG
B008F4MHI6	1	72.1	B008F4MHI6
B008NCZEPI	1	78.25	B008NCZEPI
B008O0YOFK	1	89.64	B008O0YOFK
B008XCIVPS	1	72.62	B008XCIVPS
B0092X45O8	1	53.36	B0092X45O8
B0095PUE5C	1	67.69	B0095PUE5C
B0099JVK8O	1	57.15	B0099JVK8O
B009AYB3JE	1	63.57	B009AYB3JE
B009DHMTYG	1	244.55	B009DHMTYG
B009DHP218	1	85.06	B009DHP218
B009HA5CPW	1	63.15	B009HA5CPW
B009KK3LMU	1	165.77	B009KK3LMU
B009KK3M0Q	1	176.97	B009KK3M0Q
B009NRHGUI	1	81.47	B009NRHGUI
B009RJ3YBM	1	63.02	B009RJ3YBM
B009SASPZ0	1	95.59	B009SASPZ0
B009W06FX0	1	62.46	B009W06FX0
B00A01O3N4	1	70.72	B00A01O3N4
B00A01O3O8	1	63.08	B00A01O3O8
B00A01U39C	1	58.31	B00A01U39C
B00A01U3BU	1	67.52	B00A01U3BU
B00A01U3DI	1	67.52	B00A01U3DI
B00A01U3FQ	1	67.41	B00A01U3FQ
B00A0FO00Q	1	97.75	B00A0FO00Q
B00A3R02YE	1	58.63	B00A3R02YE
B00A8306AI	1	91.44	B00A8306AI
B00A9XXLJK	1	96.33	B00A9XXLJK
B00AA69ALO	1	89.72	B00AA69ALO
B00ADR5GF4	1	55.67	B00ADR5GF4
B00AFVXX4O	1	79.22	B00AFVXX4O
B00AFVXYRK	1	82.49	B00AFVXYRK
B00AFVXZ3S	1	95.82	B00AFVXZ3S
B00AFVY0Y6	1	72.73	B00AFVY0Y6
B00AK48EI6	1	75.18	B00AK48EI6
B00AY1NXUY	1	72.93	B00AY1NXUY
B00AYCRLFQ	1	72.65	B00AYCRLFQ
B00B109QNA	1	72.62	B00B109QNA
B00B1PFGXY	1	61.77	B00B1PFGXY
B00B1YTMYE	1	65.76	B00B1YTMYE
B00B1YVGG6	1	78.35	B00B1YVGG6
B00B4T8KD0	1	179.41	B00B4T8KD0
B00B4TN9QI	1	198.25	B00B4TN9QI
B00B4TNIUA	1	107.24	B00B4TNIUA
B00B4TNNAK	1	268.48	B00B4TNNAK
B00B4TNSY6	1	107.49	B00B4TNSY6
B00B4TP416	1	116.39	B00B4TP416
B00B4TP4UC	1	162.94	B00B4TP4UC
B00B4TPLXW	1	136.94	B00B4TPLXW
B00B4TPVFK	1	63.3	B00B4TPVFK
B00B4TQ8SY	1	191.26	B00B4TQ8SY
B00B51UOT0	1	111.76	B00B51UOT0
B00B5L8FYQ	1	209.59	B00B5L8FYQ
B00B5LBDF4	1	101.47	B00B5LBDF4
B00B5LBEDA	1	68.28	B00B5LBEDA
B00B5LJLF8	1	61.79	B00B5LJLF8
B00B5LJNBU	1	63.11	B00B5LJNBU
B00B5LOGZI	1	81.48	B00B5LOGZI
B00B5LOI5G	1	91.08	B00B5LOI5G
